Date,Internet traffic data (in bits) from a private ISP with centres in 11 European cities. The data corresponds to a transatlantic link and was collected from 06:57 hours on 7 June to 11:17 hours on 31 July 2005. Daily data.
2005-06-07,1291380490453
2005-06-08,1324253032149
2005-06-09,1297523935249
2005-06-10,1126796058004
2005-06-11,680506406707
2005-06-12,881659517565
2005-06-13,1267977425414
2005-06-14,1119258857283
2005-06-15,1334999835785
2005-06-16,1283244811435
2005-06-17,971786039864
2005-06-18,660501751428
2005-06-19,983704185009
2005-06-20,1291700400067
2005-06-21,1285095727131
2005-06-22,1281775706664
2005-06-23,1233345952425
2005-06-24,791724319882
2005-06-25,662439074499
2005-06-26,1136746193055
2005-06-27,1303458262711
2005-06-28,1289651053021
2005-06-29,1267364561457
2005-06-30,1288858826405
2005-07-01,758250940185
2005-07-02,668667662452
2005-07-03,1318519578659
2005-07-04,1328394294123
2005-07-05,1329280647404
2005-07-06,1337087700596
2005-07-07,1266260042490
2005-07-08,683004056110
2005-07-09,668070456510
2005-07-10,1331819262072
2005-07-11,1347186866066
2005-07-12,1264773875639
2005-07-13,1058051714501
2005-07-14,1129208101202
2005-07-15,688810188780
2005-07-16,671073681693
2005-07-17,1315892689852
2005-07-18,1324081806201
2005-07-19,1294891949371
2005-07-20,989399753194
2005-07-21,1130353480939
2005-07-22,620535232587
2005-07-23,650919834898
2005-07-24,1207536598660
2005-07-25,1216181774429
2005-07-26,1159323536334
2005-07-27,1134002361474
