Date,"Internet traffic data (in bits) from an ISP. Aggregated traffic in the United Kingdom academic network backbone. It was collected between 19 November 2004, at 09:30 hours and 27 January 2005, at 11:11 hours. Daily data",
2004-11-19,1292582,
2004-11-20,947933,
2004-11-21,1254720,
2004-11-22,1973862,
2004-11-23,2002629,
2004-11-24,1491157,
2004-11-25,1310420,
2004-11-26,1208216,
2004-11-27,982958,
2004-11-28,1045169,
2004-11-29,1320324,
2004-11-30,1601078,
2004-12-01,1629805,
2004-12-02,1874187,
2004-12-03,1371155,
2004-12-04,1091368,
2004-12-05,1103957,
2004-12-06,1428106,
2004-12-07,1388343,
2004-12-08,1392645,
2004-12-09,1455084,
2004-12-10,1418032,
2004-12-11,1025194,
2004-12-12,1044757,
2004-12-13,1393122,
2004-12-14,1362865,
2004-12-15,1224772,
2004-12-16,1264240,
2004-12-17,1051907,
2004-12-18,747618.95,
2004-12-19,717318.84,
2004-12-20,954423,
2004-12-21,885198,
2004-12-22,795317.96,
2004-12-23,652025.96,
2004-12-24,497419.71,
2004-12-25,618705,
2004-12-26,476895.76,
2004-12-27,459055.57,
2004-12-28,537885.84,
2004-12-29,588911,
2004-12-30,567412,
2004-12-31,492733,
2005-01-01,511449.99,
2005-01-02,544255,
2005-01-03,589834.68,
2005-01-04,802806,
2005-01-05,991771,
2005-01-06,1020805,
2005-01-07,1028959,
2005-01-08,802838.89,
2005-01-09,907096,
2005-01-10,1309346,
2005-01-11,1332588,
2005-01-12,1305900,
2005-01-13,1280921,
2005-01-14,1206449,
2005-01-15,937899,
2005-01-16,984363,
2005-01-17,1390835,
2005-01-18,1435734,
2005-01-19,1401972,
2005-01-20,1427291,
2005-01-21,1300265,
2005-01-22,1045388,
2005-01-23,1060182,
2005-01-24,1401670,
2005-01-25,1441565,
2005-01-26,1403674,
